# Geometria del corredor Tijuana-Tecate, para JTT-1395.
# Origen: 200217-IT-B Larguillo ITS Tijuana - Tecate.kmz, entregado por el lider el 20-ago-2026.
# Traza de 724 vertices, anclada a las 29 paletas de kilometraje PK 120..148 del mismo archivo.
# Cubre del PK 120.764 al PK 147.716. Fuera de ese tramo no hay geometria.
# Formato: longitud;latitud;metros   (metros = punto kilometrico normalizado, CA 8)
-116.8438700;32.5515500;146715
-116.8440700;32.5514800;146735
-116.8444100;32.5513400;146770
-116.8448400;32.5511000;146818
-116.8449800;32.5510200;146834
-116.8452600;32.5508800;146864
-116.8452800;32.5508700;146866
-116.8454100;32.5508100;146880
-116.8456100;32.5507200;146901
-116.8461500;32.5504300;146960
-116.8464100;32.5502700;146990
-116.8466900;32.5500900;147023
-116.8471800;32.5497500;147082
-116.8475600;32.5494800;147128
-116.8483700;32.5488500;147230
-116.8487800;32.5485600;147280
-116.8490500;32.5483500;147314
-116.8499900;32.5476200;147432
-116.8507200;32.5470900;147522
-116.8507500;32.5470700;147525
-116.8516100;32.5464000;147634
-116.8517000;32.5463200;147646
-116.8518900;32.5461500;147672
-116.8521800;32.5458300;147716
